"","sp","wp","wnp","snp","ds","dm","dl","ss","sm","sl","subclass","port","proto","class"
"2509",0,0,0,0.2,0.4,0.2,0,0.6,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"1264",0,0,0.142857142857143,0.142857142857143,0,0.571428571428571,0,0.571428571428571,0,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"8206",0,0,0,0.2,0,0,0.6,0,0.6,0,"From-Normal-Stribrek",80,"tcp","Normal"
"2363",0.428571428571429,0.0158730158730159,0.0317460317460317,0,0,0.492063492063492,0.0158730158730159,0.492063492063492,0.0158730158730159,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"5580",0.0419989367357788,0.0313662945241893,0.307283359914939,0.118553960659224,0.489101541733121,0.0101010101010101,0.00106326422115896,0,0.50026581605529,0,"From-Normal-Stribrek",80,"tcp","Normal"
"2902",0,0.111111111111111,0.222222222222222,0,0.222222222222222,0.333333333333333,0,0.555555555555556,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"7518",0,0,0,0.363636363636364,0,0,0.545454545454545,0,0,0.545454545454545,"From-Normal-Stribrek",80,"tcp","Normal"
"6114",0,0,0,0.2,0,0,0.6,0,0.4,0.2,"From-Normal-Stribrek",80,"tcp","Normal"
"2671",0,0,0.222222222222222,0.244444444444444,0,0.511111111111111,0,0,0,0.511111111111111,"From-Botnet-TCP-Established-HTTP-Ad",80,"tcp","Botnet"
"1579",0,0,0.2,0,0.2,0.4,0,0.6,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"4016",0.024390243902439,0.146341463414634,0.0975609756097561,0.195121951219512,0,0.51219512195122,0,0,0,0.51219512195122,"From-Botnet-TCP-Established-HTTP-Ad",80,"tcp","Botnet"
"4988",0.0469908279934665,0.038698328935796,0.303555723080789,0.110566654102274,0.498555094861163,0,0.00150772710139465,0,0.500062821962558,0,"From-Normal-Stribrek",80,"tcp","Normal"
"8474",0.0212765957446809,0.0425531914893617,0.127659574468085,0.276595744680851,0,0,0.51063829787234,0,0.0212765957446809,0.48936170212766,"From-Normal-Grill",80,"tcp","Normal"
"3319",0.363636363636364,0,0,0,0,0.545454545454545,0,0.545454545454545,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"8241",0.0204081632653061,0,0.122448979591837,0.326530612244898,0,0,0.510204081632653,0,0,0.510204081632653,"From-Normal-Jist",443,"tcp","Normal"
"6266",0.025974025974026,0.038961038961039,0.307359307359307,0.121212121212121,0.502164502164502,0,0,0.00432900432900433,0.497835497835498,0,"From-Normal-Stribrek",80,"tcp","Normal"
"953",0,0,0.181818181818182,0.181818181818182,0,0.181818181818182,0.363636363636364,0,0,0.545454545454545,"From-Botnet-TCP-Established-HTTP-Ad",80,"tcp","Botnet"
"2163",0.0256410256410256,0.0512820512820513,0.205128205128205,0.179487179487179,0.0512820512820513,0.461538461538462,0,0.512820512820513,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"3322",0,0,0,0.285714285714286,0,0,0.571428571428571,0,0,0.571428571428571,"From-Botnet-TCP-WEB-Established",80,"tcp","Botnet"
"4005",0,0,0.2,0,0.6,0,0,0.6,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"4418",0.107266435986159,0.190311418685121,0.0484429065743945,0.14878892733564,0,0.467128027681661,0.0346020761245675,0.027681660899654,0.29757785467128,0.176470588235294,"From-Botnet-TCP-Attempt",80,"tcp","Botnet"
"1281",0,0,0.2,0,0,0.6,0,0.6,0,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"2435",0,0,0.2,0,0,0.6,0,0,0,0.6,"From-Botnet-TCP-WEB-Established-SSL",443,"tcp","Botnet"
"1511",0,0,0.142857142857143,0.142857142857143,0.428571428571429,0.142857142857143,0,0.571428571428571,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"5821",0,0,0.2,0,0,0,0.6,0,0.6,0,"From-Normal-Stribrek",80,"tcp","Normal"
"4300",0,0,0,0.363636363636364,0,0.545454545454545,0,0,0,0.545454545454545,"From-Botnet-TCP-Established-HTTP-Ad",80,"tcp","Botnet"
"4277",0,0,0.256410256410256,0.205128205128205,0.384615384615385,0.128205128205128,0,0.512820512820513,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"25",0,0,0,0,0,0.5,0,0.5,0,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"3590",0,0,0.111111111111111,0.222222222222222,0.111111111111111,0.333333333333333,0.111111111111111,0.111111111111111,0,0.444444444444444,"From-Botnet-TCP-WEB-Established",80,"tcp","Botnet"
"2754",0,0.0487804878048781,0.24390243902439,0.170731707317073,0.0487804878048781,0.463414634146341,0,0.51219512195122,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"5119",0,0,0,0.285714285714286,0,0,0.571428571428571,0,0,0.571428571428571,"From-Normal-Jist",443,"tcp","Normal"
"4635",0,0,0.181818181818182,0.181818181818182,0,0.0909090909090909,0.454545454545455,0,0.272727272727273,0.272727272727273,"From-Normal-Grill",80,"tcp","Normal"
"5908",0.037037037037037,0.0987654320987654,0.0987654320987654,0.246913580246914,0,0,0.506172839506173,0,0.333333333333333,0.172839506172839,"From-Normal-Jist",80,"tcp","Normal"
"7563",0,0.037037037037037,0.111111111111111,0.296296296296296,0,0.0740740740740741,0.444444444444444,0,0.296296296296296,0.222222222222222,"From-Normal-Grill",80,"tcp","Normal"
"79",0,0.111111111111111,0,0.222222222222222,0.111111111111111,0.444444444444444,0,0.111111111111111,0.444444444444444,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"1598",0.128463476070529,0.151133501259446,0.110831234256927,0.105793450881612,0.0478589420654912,0.448362720403023,0.00503778337531486,0.0478589420654912,0,0.453400503778338,"From-Botnet-TCP-CC-Not-Encrypted",5678,"tcp","Botnet"
"3951",0.0408163265306122,0,0.408163265306122,0.0204081632653061,0,0,0.510204081632653,0,0.510204081632653,0,"From-Botnet-TCP-WEB-Established",80,"tcp","Botnet"
"6116",0.0769230769230769,0.0769230769230769,0.0769230769230769,0.153846153846154,0,0,0.538461538461538,0,0.0769230769230769,0.461538461538462,"From-Normal-Stribrek",443,"tcp","Normal"
"8734",0.0196078431372549,0,0,0,0,0.0588235294117647,0,0,0,0.0588235294117647,"From-Normal-Stribrek",80,"tcp","Normal"
"4207",0,0,0,0.2,0.2,0,0.4,0.2,0,0.4,"From-Botnet-TCP-Established-HTTP-Adobe",80,"tcp","Botnet"
"6632",0,0.0666666666666667,0.0666666666666667,0.266666666666667,0,0.0666666666666667,0.466666666666667,0,0,0.533333333333333,"From-Normal-Grill",80,"tcp","Normal"
"7052",0,0.0555555555555556,0.0555555555555556,0.277777777777778,0,0,0.5,0,0.111111111111111,0.388888888888889,"From-Normal-Grill",80,"tcp","Normal"
"909",0,0,0.2,0,0.2,0.4,0,0.6,0,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"4619",0,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0,0.545454545454545,0,0.363636363636364,0.181818181818182,"From-Normal-Grill",80,"tcp","Normal"
"4897",0,0,0,0.2,0,0,0.6,0,0,0.6,"From-Normal-Grill",80,"tcp","Normal"
"6544",0,0.0571428571428571,0.142857142857143,0.257142857142857,0,0,0.514285714285714,0,0,0.514285714285714,"From-Normal-Jist",993,"tcp","Normal"
"6909",0,0.2,0,0,0,0,0.6,0,0,0.6,"From-Normal-Stribrek",80,"tcp","Normal"
"295",0,0,0,0.2,0.2,0.4,0,0.6,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"8257",0,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,"From-Normal-Stribrek",80,"tcp","Normal"
"5504",0,0.0434782608695652,0.0869565217391304,0.304347826086957,0,0,0.521739130434783,0,0.173913043478261,0.347826086956522,"From-Normal-Grill",80,"tcp","Normal"
"6112",0.0222222222222222,0.0444444444444444,0.333333333333333,0.0666666666666667,0,0,0.511111111111111,0,0,0.511111111111111,"From-Normal-Stribrek",80,"tcp","Normal"
"1481",0,0,0,0.2,0.6,0,0,0.6,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"7250",0,0,0.117647058823529,0.294117647058824,0.0588235294117647,0,0.470588235294118,0,0.235294117647059,0.294117647058824,"From-Normal-Stribrek",80,"tcp","Normal"
"8006",0,0,0.0930232558139535,0.372093023255814,0,0,0.511627906976744,0,0.302325581395349,0.209302325581395,"From-Normal-Grill",80,"tcp","Normal"
"2801",0,0,0.222222222222222,0.111111111111111,0,0.555555555555556,0,0.555555555555556,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"939",0.0158730158730159,0,0.253968253968254,0.206349206349206,0,0.492063492063492,0.0158730158730159,0.507936507936508,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"1693",0,0,0.2,0,0,0.6,0,0.6,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"5285",0.04,0.0304,0.2944,0.1328,0.448,0,0.0528,0,0.4928,0.008,"From-Normal-Stribrek",80,"tcp","Normal"
"2750",0,0,0,0.285714285714286,0.142857142857143,0.428571428571429,0,0.571428571428571,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"4292",0,0.0536912751677852,0.140939597315436,0.295302013422819,0.0671140939597315,0.436241610738255,0,0.503355704697987,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"5205",0,0,0,0.333333333333333,0,0,0.555555555555556,0,0,0.555555555555556,"From-Normal-Jist",443,"tcp","Normal"
"7586",0,0,0.111111111111111,0.222222222222222,0,0,0.555555555555556,0,0.333333333333333,0.222222222222222,"From-Normal-Stribrek",80,"tcp","Normal"
"1676",0,0,0,0.2,0,0.6,0,0.6,0,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"3055",0.04,0.12,0.12,0.16,0,0.08,0.44,0,0,0.52,"From-Botnet-TCP-WEB-Established",80,"tcp","Botnet"
"5356",0.242424242424242,0,0.212121212121212,0,0,0.515151515151515,0,0,0,0.515151515151515,"From-Normal-Stribrek",443,"tcp","Normal"
"8826",0,0,0.0714285714285714,0.357142857142857,0,0,0.5,0,0.107142857142857,0.392857142857143,"From-Normal-Stribrek",80,"tcp","Normal"
"671",0,0,0.285714285714286,0,0.142857142857143,0,0.428571428571429,0.142857142857143,0.142857142857143,0.285714285714286,"From-Botnet-UDP-DNS",53,"udp","Botnet"
"6980",0,0.117647058823529,0.294117647058824,0,0.529411764705882,0,0,0,0,0.529411764705882,"From-Normal-Stribrek",80,"tcp","Normal"
"3772",0,0.2,0,0,0,0.6,0,0.6,0,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"3208",0,0,0,0.2,0,0.6,0,0,0,0.6,"From-Botnet-TCP-WEB-Established",80,"tcp","Botnet"
"3840",0,0.0476190476190476,0,0.380952380952381,0,0.523809523809524,0,0,0,0.523809523809524,"From-Botnet-TCP-WEB-Established",80,"tcp","Botnet"
"2008",0,0,0,0.285714285714286,0,0.571428571428571,0,0.571428571428571,0,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"816",0.0307692307692308,0.0769230769230769,0.261538461538462,0.107692307692308,0,0.0461538461538462,0.461538461538462,0,0,0.507692307692308,"From-Botnet-TCP-Established-HTTP-Ad",80,"tcp","Botnet"
"4119",0,0,0.2,0,0,0.6,0,0.6,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"4863",0,0.2,0,0,0,0,0.6,0,0,0.6,"From-Normal-Jist",80,"tcp","Normal"
"5732",0,0,0.0697674418604651,0.395348837209302,0.511627906976744,0,0,0.27906976744186,0.232558139534884,0,"From-Normal-CVUT-WebServer",53,"udp","Normal"
"2440",0.0153846153846154,0.0153846153846154,0.2,0.246153846153846,0,0.507692307692308,0,0,0.0307692307692308,0.476923076923077,"From-Botnet-TCP-Established-SSL-To-Microsoft",443,"tcp","Botnet"
"3150",0,0.111111111111111,0.111111111111111,0.111111111111111,0.555555555555556,0,0,0.555555555555556,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"7394",0,0,0,0.2,0,0,0.6,0,0.2,0.4,"From-Normal-Jist",80,"tcp","Normal"
"1734",0,0.0588235294117647,0.117647058823529,0.235294117647059,0.176470588235294,0.352941176470588,0,0.529411764705882,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"5518",0,0,0,0.363636363636364,0,0.272727272727273,0.272727272727273,0,0.272727272727273,0.272727272727273,"From-Normal-Grill",80,"tcp","Normal"
"1452",0.283018867924528,0.0377358490566038,0.0377358490566038,0.113207547169811,0.433962264150943,0.0566037735849057,0.0188679245283019,0.452830188679245,0.0377358490566038,0.0188679245283019,"From-Botnet-UDP-DNS",53,"udp","Botnet"
"606",0,0,0,0.25,0,0,0.5,0,0.125,0.375,"From-Botnet-UDP-Attempt-DNS",53,"udp","Botnet"
"4482",0,0,0.0526315789473684,0.368421052631579,0.368421052631579,0,0.157894736842105,0,0.157894736842105,0.368421052631579,"From-Normal-Jist",80,"tcp","Normal"
"6535",0,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0.333333333333333,0,0,0.444444444444444,"From-Normal-Grill",443,"tcp","Normal"
"5577",0.0259344012204424,0.0709382151029748,0.0747520976353928,0.327231121281465,0.007627765064836,0.425629290617849,0.0671243325705568,0,0,0.500381388253242,"From-Normal-Stribrek",443,"tcp","Normal"
"8399",0.0869565217391304,0,0.0434782608695652,0.304347826086957,0,0,0.521739130434783,0,0,0.521739130434783,"From-Normal-Jist",80,"tcp","Normal"
"7428",0,0,0.111111111111111,0.222222222222222,0,0,0.555555555555556,0,0,0.555555555555556,"From-Normal-Grill",80,"tcp","Normal"
"6109",0.0518053375196232,0.0408163265306122,0.291993720565149,0.113029827315542,0.491365777080063,0,0.00941915227629513,0,0.500784929356358,0,"From-Normal-Stribrek",80,"tcp","Normal"
"1773",0,0.2,0,0,0,0.6,0,0.6,0,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"5357",0.341463414634146,0,0.0731707317073171,0.0487804878048781,0,0.51219512195122,0,0,0,0.51219512195122,"From-Normal-Stribrek",443,"tcp","Normal"
"4096",0,0,0.2,0,0.6,0,0,0.6,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"4061",0,0,0.142857142857143,0.142857142857143,0,0.571428571428571,0,0,0.142857142857143,0.428571428571429,"From-Botnet-TCP-WEB-Established-SSL",443,"tcp","Botnet"
"5220",0,0,0.2,0.2,0,0,0.533333333333333,0,0.2,0.333333333333333,"From-Normal-Grill",80,"tcp","Normal"
"3042",0,0.0434782608695652,0,0.391304347826087,0,0.0434782608695652,0.478260869565217,0,0,0.521739130434783,"From-Botnet-TCP-Established-HTTP-Ad",80,"tcp","Botnet"
"2594",0,0.153846153846154,0.153846153846154,0.0769230769230769,0,0.0769230769230769,0.461538461538462,0,0,0.538461538461538,"From-Botnet-TCP-Established-HTTP-Ad",80,"tcp","Botnet"
"2243",0,0,0,0.2,0,0.6,0,0.6,0,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"5648",0.0201680672268908,0.034733893557423,0.146218487394958,0.298039215686275,0.452100840336134,0.0448179271708683,0.00336134453781513,0.333333333333333,0.166946778711485,0,"From-Normal-Grill",53,"udp","Normal"
"509",0,0,0,0,0,0.5,0,0,0.5,0,"From-Botnet-UDP-DNS",53,"udp","Botnet"
"7201",0.0769230769230769,0,0,0.307692307692308,0,0,0.538461538461538,0,0,0.538461538461538,"From-Normal-Grill",443,"tcp","Normal"
"6568",0,0.111111111111111,0,0.222222222222222,0,0,0.555555555555556,0,0.333333333333333,0.222222222222222,"From-Normal-Stribrek",80,"tcp","Normal"
"745",0,0,0,0,0,0.25,0.25,0,0.25,0.25,"From-Botnet-UDP-DNS",53,"udp","Botnet"
"8156",0.181818181818182,0.0909090909090909,0.0909090909090909,0,0,0,0.545454545454545,0,0,0.545454545454545,"From-Normal-Jist",80,"tcp","Normal"
"1425",0.333333333333333,0.0303030303030303,0.111111111111111,0.0101010101010101,0,0.494949494949495,0.0101010101010101,0,0.434343434343434,0.0707070707070707,"From-Botnet-TCP-CC-HTTP-Not-Encrypted",80,"tcp","Botnet"
"632",0,0.2,0,0,0,0.6,0,0.6,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"1280",0,0,0,0.25,0,0.5,0,0.125,0,0.375,"From-Botnet-TCP-CC-HTTP-Not-Encrypted",6667,"tcp","Botnet"
"7934",0.2,0,0,0,0,0,0.6,0,0.6,0,"From-Normal-Stribrek",80,"tcp","Normal"
"3828",0,0.129032258064516,0.32258064516129,0,0,0.516129032258065,0,0,0.032258064516129,0.483870967741935,"From-Botnet-TCP-WEB-Established",80,"tcp","Botnet"
"4614",0,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0.545454545454545,0,0,0,0.545454545454545,"From-Normal-Grill",80,"tcp","Normal"
"8776",0,0,0,0.272727272727273,0.181818181818182,0,0.272727272727273,0,0.272727272727273,0.181818181818182,"From-Normal-Jist",80,"tcp","Normal"
"1656",0.0425531914893617,0,0.212765957446809,0.212765957446809,0.0212765957446809,0.234042553191489,0.25531914893617,0.0212765957446809,0,0.48936170212766,"From-Botnet-TCP-Established-HTTP-Ad",80,"tcp","Botnet"
"3809",0.037037037037037,0.037037037037037,0.185185185185185,0.185185185185185,0.111111111111111,0.407407407407407,0,0.518518518518518,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"5507",0,0,0,0.363636363636364,0,0,0.545454545454545,0,0.545454545454545,0,"From-Normal-Grill",80,"tcp","Normal"
"448",0,0,0,0.25,0,0.125,0.375,0,0.5,0,"From-Botnet-UDP-DNS",53,"udp","Botnet"
"5259",0,0,0.142857142857143,0.142857142857143,0,0,0.571428571428571,0,0.571428571428571,0,"From-Normal-Grill",80,"tcp","Normal"
"7290",0,0,0,0.363636363636364,0,0.181818181818182,0.363636363636364,0,0.272727272727273,0.272727272727273,"From-Normal-Grill",80,"tcp","Normal"
"955",0,0,0,0.166666666666667,0,0,0.5,0,0,0.5,"From-Botnet-TCP-WEB-Established",80,"tcp","Botnet"
"8472",0,0,0.266666666666667,0.133333333333333,0.333333333333333,0.2,0,0,0.133333333333333,0.4,"From-Normal-Grill",80,"tcp","Normal"
"1577",0,0,0.176470588235294,0.235294117647059,0.176470588235294,0.352941176470588,0,0.529411764705882,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"8120",0.0769230769230769,0.153846153846154,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0.461538461538462,0,0.384615384615385,0.153846153846154,"From-Normal-Grill",80,"tcp","Normal"
"8333",0.144578313253012,0,0.265060240963855,0.072289156626506,0,0.493975903614458,0.0120481927710843,0,0,0.506024096385542,"From-Normal-Stribrek",443,"tcp","Normal"
"8633",0,0,0.111111111111111,0.222222222222222,0.555555555555556,0,0,0,0,0.555555555555556,"From-Normal-Jist",80,"tcp","Normal"
"7639",0,0,0.0930232558139535,0.372093023255814,0,0,0.511627906976744,0,0.302325581395349,0.209302325581395,"From-Normal-Grill",80,"tcp","Normal"
"1900",0,0,0,0,0,0.5,0,0.5,0,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"7812",0.0222222222222222,0.0666666666666667,0.0666666666666667,0.311111111111111,0.0222222222222222,0.0222222222222222,0.466666666666667,0,0.0888888888888889,0.422222222222222,"From-Normal-Stribrek",80,"tcp","Normal"
"7758",0,0,0.142857142857143,0.142857142857143,0,0,0.571428571428571,0,0.142857142857143,0.428571428571429,"From-Normal-Jist",993,"tcp","Normal"
"457",0,0,0,0,0,0,0.5,0,0,0.5,"From-Botnet-UDP-DNS",53,"udp","Botnet"
"1142",0,0,0,0,0.25,0.25,0,0.5,0,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"5823",0.0476190476190476,0.0476190476190476,0.285714285714286,0.0476190476190476,0.523809523809524,0,0,0,0.523809523809524,0,"From-Normal-Stribrek",80,"tcp","Normal"
"4409",0,0,0.285714285714286,0,0.428571428571429,0.142857142857143,0,0.571428571428571,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"5395",0,0,0,0.2,0,0,0.6,0,0.4,0.2,"From-Normal-Grill",80,"tcp","Normal"
"1923",0,0,0.2,0,0,0.6,0,0.2,0.4,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"3755",0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.428571428571429,0,0.571428571428571,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"3191",0,0,0.117647058823529,0.294117647058824,0.0588235294117647,0.470588235294118,0,0.529411764705882,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"1622",0,0,0.2,0,0,0.6,0,0.6,0,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"2516",0,0,0.2,0,0,0.6,0,0.4,0.2,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"4367",0,0,0.0769230769230769,0.307692307692308,0.0769230769230769,0.153846153846154,0.307692307692308,0,0,0.538461538461538,"From-Botnet-TCP-Established-HTTP-Ad",80,"tcp","Botnet"
"809",0.024442082890542,0.0294013460857244,0.211122918880623,0.234502302515055,0,0.42862203329791,0.0715550832447751,0.354941551540914,0.141693234148069,0.00354233085370174,"From-Botnet-TCP-Attempt",80,"tcp","Botnet"
"1780",0,0,0.111111111111111,0.222222222222222,0.333333333333333,0.222222222222222,0,0.555555555555556,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"3396",0,0,0.235294117647059,0.176470588235294,0,0.529411764705882,0,0,0,0.529411764705882,"From-Botnet-TCP-CC-Plain-HTTP-Encrypted-Data",80,"tcp","Botnet"
"1351",0,0.0425531914893617,0.340425531914894,0.0851063829787234,0,0.51063829787234,0,0.51063829787234,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"365",0,0,0,0.166666666666667,0.166666666666667,0.333333333333333,0,0.5,0,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"6060",0,0,0,0.25,0,0,0.5,0,0,0.5,"From-Normal-Grill",443,"tcp","Normal"
"742",0,0,0,0.285714285714286,0,0.571428571428571,0,0,0.571428571428571,0,"From-Botnet-TCP-Attempt",6667,"tcp","Botnet"
"8344",0,0,0.222222222222222,0.111111111111111,0,0,0.555555555555556,0,0.111111111111111,0.444444444444444,"From-Normal-Stribrek",80,"tcp","Normal"
"4158",0,0.0645161290322581,0.258064516129032,0.129032258064516,0,0.516129032258065,0,0.516129032258065,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
"1336",0,0.153846153846154,0.230769230769231,0,0,0.538461538461538,0,0,0,0.538461538461538,"From-Botnet-TCP-WEB-Established",80,"tcp","Botnet"
"2458",0.111111111111111,0,0.111111111111111,0.111111111111111,0,0.555555555555556,0,0.555555555555556,0,0,"From-Botnet-TCP-Attempt-SPAM",25,"tcp","Botnet"
