"id"|"size"|"prediction"
5657|200|0.98
4805|200|0.924
8242|200|0.994
1591|200|0.964
6433|200|0.26
4485|200|0.738
5817|200|0.932
125|200|0.228
382|200|0.986
2560|200|1
6637|200|1
8749|200|0.432
1196|200|0.204
6124|200|0.11
1561|200|0.994
5736|200|0.948
7676|200|0.932
8349|200|0.998
7599|200|0.246
2355|200|0.962
2076|200|0.278
260|200|0.992
6612|200|0.992
290|200|0.998
5378|200|0.964
674|200|0.224
8853|200|0.028
3111|200|0.78
8714|200|0.47
6350|200|1
364|200|0.734
6008|200|0.99
6585|200|0.382
6163|200|0.988
4425|200|0.592
4968|200|0.938
1124|200|0.988
3171|200|0.008
6558|200|0.976
6758|200|0.986
3628|200|0.164
7709|200|0.972
2464|200|0.992
7472|200|0.956
2354|200|0.974
1095|200|0.962
5911|200|0.992
5786|200|0.998
4297|200|0.002
7422|200|0.994
2273|200|0.386
2140|200|0.058
4005|200|0.21
781|200|1
3671|200|1
7587|200|0.978
6872|200|0.298
3798|200|0.122
2102|200|0.816
2331|200|0.994
1414|200|0.854
2735|200|0.444
4282|200|0.008
8843|200|0.07
3280|200|0.588
4334|200|0.18
282|200|0.986
7523|200|0.88
4044|200|0.088
3031|200|0.018
1948|200|0.002
7769|200|0.996
2952|200|0.196
4587|200|1
1070|200|0.998
7832|200|1
6609|200|0.988
2603|200|0.296
8878|200|0.51
6890|200|0.444
5129|200|0.292
5862|200|1
7589|200|0.932
2935|200|0.04
7539|200|0.868
6797|200|1
95|200|0.446
6007|200|0.902
2246|200|0.52
4285|200|0.206
6606|200|0.976
560|200|0.992
154|200|0.002
4358|200|0.078
5806|200|0.994
8007|200|0.96
7395|200|0.964
7209|200|0.962
5636|200|0.938
5074|200|0.962
1987|200|0.014
8721|200|0.014
7688|200|1
5557|200|0.97
8566|200|0.898
6614|200|0.996
2438|200|0.998
4837|200|0.776
3754|200|0.952
5735|200|0.998
8249|200|0.99
7914|200|0.956
5870|200|0.93
6913|200|0.998
7646|200|0.992
2243|200|0.42
7466|200|0.404
7408|200|0.96
3204|200|0.002
1390|200|0.932
2617|200|0.974
340|200|1
1635|200|0.998
2239|200|0.5
2663|200|0.868
6262|200|1
4140|200|0.418
6604|200|1
5866|200|0.986
277|200|0.984
1201|200|0.988
3384|200|0.94
1998|200|0.136
5326|200|0.996
8363|200|0.04
3244|200|0.194
7095|200|0.884
4907|200|0.852
2590|200|0.454
6541|200|0.872
6737|200|0.98
6010|200|1
1246|200|1
1549|200|0.996
2907|200|0.21
4800|200|0.824
8836|200|0.442
4971|200|0.924
1420|200|0.968
7413|200|0.916
1754|200|0.502
8659|200|0.002
5218|200|0.978
5284|200|0.984
2158|200|0.308
5417|200|0.918
5857|200|0.988
5854|200|0.984
7226|200|0.924
4916|200|0.88
2888|200|0.154
3771|200|0.998
7035|200|0.952
3400|200|0.992
5770|200|1
3606|200|0.014
6351|200|0.6
5897|200|0.694
4889|200|0.99
5018|200|0.796
7169|200|1
7756|200|0.952
6931|200|0.952
7259|200|1
1067|200|0.71
6595|200|0.986
5382|200|0.404
2151|200|0.112
1684|200|0.99
2745|200|0.964
2432|200|0.994
4783|200|0.1
3564|200|0.294
1797|200|0.484
6512|200|0.506
882|200|0.056
8780|200|0.244
1094|200|1
3956|200|0.47
5249|200|0.228
7039|200|0.982
8297|200|0.984
4021|200|0.446
2891|200|0.508
3640|200|0.232
3076|200|0.272
2584|200|0.998
4767|200|0.964
127|200|0.04
8548|200|0.508
8237|200|1
3928|200|0.968
8457|200|0.062
6699|200|0.992
7416|200|1
4651|200|0.714
7950|200|0.9
7183|200|0.26
2257|200|0.456
8539|200|0.164
7927|200|0.998
5229|200|0.946
1771|200|0.834
1315|200|0.946
4146|200|0.542
1347|200|0.228
2566|200|0.994
3195|200|0.288
1809|200|0.34
6995|200|0.802
4623|200|0.988
59|200|0.168
7120|200|0.852
1426|200|0.316
222|200|1
4455|200|0.998
7986|200|1
7142|200|0.978
1693|200|0.964
3522|200|0.018
6446|200|0.99
497|200|1
7458|200|0.952
3173|200|0.08
3175|200|0.124
7525|200|0.976
798|200|0.982
646|200|0.294
1503|200|0.904
4512|200|0.908
6268|200|0.992
2177|200|0.254
6959|200|0.46
8771|200|0.162
2374|200|0.898
6138|200|0.984
2434|200|1
5536|200|0.99
1264|200|0.166
1567|200|0.998
2599|200|0.962
2811|200|0.482
7215|200|0.948
6694|200|0.952
1381|200|0.668
2865|200|0.334
7527|200|0.998
6510|200|0.522
7467|200|0.24
792|200|0.598
4854|200|0.458
822|200|0.504
8545|200|0.114
2834|200|0.266
6059|200|1
2301|200|0.962
960|200|0.162
977|200|0.434
2286|200|1
7725|200|0.61
8382|200|0.978
3625|200|0.164
8969|200|0.3
4772|200|0.992
6074|200|0.994
749|200|0.666
2344|200|1
1096|200|0.84
398|200|0.99
4043|200|0.334
1562|200|0.996
1313|200|0.946
5007|200|1
1072|200|0.532
5940|200|0.986
2423|200|0.456
6827|200|0.066
2209|200|0.836
6202|200|0.112
4473|200|0.924
8480|200|0.346
7889|200|1
4580|200|0.956
8582|200|0.028
7929|200|1
2361|200|0.42
109|200|0.444
4906|200|0.374
1685|200|1
8342|200|0.988
5948|200|0.996
355|200|0.97
5756|200|0.994
5113|200|0.994
359|200|0.51
7197|200|0.954
4820|200|1
1737|200|0.99
6457|200|0.996
4559|200|0.934
5853|200|0.994
786|200|1
1729|200|0.99
1849|200|0.372
313|200|1
7148|200|0.796
7450|200|1
8527|200|0.164
3140|200|0.028
6406|200|0.928
6049|200|0.902
8620|200|0.248
8183|200|1
8048|200|1
1208|200|0.972
3197|200|0.186
8686|200|0.056
4064|200|0.23
7931|200|1
5187|200|0.424
2387|200|1
519|200|0.998
7558|200|0.898
262|200|0.972
5028|200|1
871|200|0.912
2287|200|0.994
8468|200|1
666|200|0.346
8428|200|0.358
5650|200|0.84
3929|200|0.994
7453|200|0.998
3961|200|0.076
4132|200|0.062
914|200|0.93
4197|200|0.254
4225|200|0.138
2924|200|0.002
2369|200|0.96
5482|200|0.766
3576|200|0.112
2202|200|0.396
436|200|0.892
2610|200|0.992
103|200|0.036
5926|200|0.932
928|200|0.988
6110|200|0.926
2094|200|0.242
2964|200|0.452
8200|200|1
2005|200|0.328
7032|200|0.98
9|200|0.614
3886|200|0.082
1847|200|0.506
8719|200|0.194
5675|200|0.924
8075|200|0.952
8190|200|0.976
4824|200|1
4360|200|0.064
6111|200|0.966
1977|200|0.056
3393|200|0.906
3432|200|0.994
6715|200|0.924
6728|200|1
969|200|0.636
4303|200|0.018
2071|200|0.082
1293|200|0.216
2113|200|0.01
4566|200|0.99
8105|200|1
8306|200|0.952
4500|200|0.992
7659|200|0.988
3790|200|0.986
3981|200|0.002
8269|200|0.996
679|200|0.294
5823|200|0.988
4709|200|1
5227|200|0.988
8226|200|1
97|200|0.492
3595|200|0.014
7430|200|0.998
6203|200|0.998
8388|200|0.984
5933|200|1
6607|200|0.878
849|200|0.756
8826|200|0.116
7073|200|0.968
6029|200|0.872
5361|200|0.862
881|200|0.986
5766|200|0.364
597|200|0.056
2307|200|0.984
8103|200|0.758
3403|200|0.952
8493|200|0.99
3587|200|0.07
1601|200|0.986
4326|200|0.018
3496|200|0.108
4763|200|0.964
4522|200|1
185|200|0.056
3033|200|0.048
1118|200|0.66
6149|200|0.98
4200|200|0.026
4904|200|0.41
3486|200|0.47
4885|200|0.812
3768|200|0.99
471|200|0.94
6317|200|0.988
8479|200|0.944
4049|200|0.252
2024|200|0.11
392|200|0.56
266|200|0.98
2289|200|0.946
8013|200|0.994
3359|200|0.012
4287|200|0.366
6877|200|0.998
27|200|0.358
7132|200|1
4794|200|0.94
5558|200|0.97
813|200|0.866
1665|200|0.042
7989|200|0.976
4048|200|0.034
5058|200|0.952
164|200|0.21
6170|200|0.93
2135|200|0.132
2876|200|0.124
3514|200|0.182
4575|200|0.64
4602|200|0.23
6418|200|0.836
7250|200|0.994
2098|200|0.334
860|200|0.93
8694|200|0.144
6379|200|0.992
7576|200|1
7782|200|0.99
4507|200|0.928
7902|200|0.996
681|200|0.294
4988|200|0.952
7199|200|1
8250|200|0.994
3503|200|0.034
5376|200|0.998
2164|200|0.024
2099|200|0.304
1240|200|0.99
6824|200|0.948
1177|200|0.858
3313|200|0.132
7186|200|1
7227|200|0.962
6566|200|0.978
1911|200|0.064
8302|200|0.962
486|200|0.888
6037|200|1
6065|200|0.99
104|200|0.63
6909|200|0.988
6102|200|0.996
2854|200|0.066
2052|200|0.002
8810|200|0.112
3716|200|0.952
2862|200|0.352
7813|200|0.95
160|200|0.484
3907|200|0.064
153|200|0.016
7918|200|0.984
3093|200|0.132
8962|200|0.35
1931|200|0.002
7873|200|0.934
6271|200|0.994
3643|200|0.514
1961|200|0.128
5826|200|0.996
3309|200|0.104
5280|200|0.466
1054|200|0.686
3844|200|0.958
5695|200|0.768
6208|200|0.992
733|200|1
6272|200|0.962
3380|200|1
1886|200|0.326
4406|200|0.942
2376|200|0.984
4890|200|0.922
5455|200|0.426
4414|200|1
7304|200|0.812
8777|200|0.628
7268|200|0.952
186|200|0.88
6535|200|0.99
1765|200|0.632
3634|200|0.634
3991|200|0.282
2337|200|0.958
8101|200|0.994
7711|200|0.994
4983|200|0.19
8173|200|1
7311|200|0.78
5139|200|0.416
1833|200|0.958
6223|200|0.966
1424|200|0.974
331|200|0.988
2780|200|0.426
180|200|1
5132|200|0.616
4230|200|0.218
6295|200|0.934
1261|200|0.096
5815|200|0.828
7922|200|1
3263|200|0.186
2070|200|0.206
4905|200|0.924
502|200|0.994
4365|200|0.182
1034|200|0.586
3271|200|0.054
1902|200|0.388
2219|200|0.904
3227|200|0.034
3255|200|0.002
4577|200|0.996
926|200|0.228
4368|200|0.136
1533|200|0.248
1465|200|1
5468|200|0.406
8267|200|0.994
7917|200|0.192
7736|200|0.978
2019|200|0.048
8960|200|0.028
3969|200|0.002
2343|200|0.998
5569|200|0.01
8594|200|0.012
3607|200|0.148
7185|200|1
793|200|0.348
3755|200|0.148
8089|200|0.994
6586|200|0.924
3353|200|0.01
1198|200|0.352
3984|200|0.048
7829|200|0.994
2656|200|0.996
316|200|0.988
7891|200|1
988|200|0.358
7865|200|1
2930|200|0.34
4770|200|1
3262|200|0.26
3784|200|0.982
2161|200|0.184
4111|200|0.738
2625|200|0.998
8955|200|0.106
161|200|0.496
6605|200|1
241|200|0.996
1699|200|0.996
3234|200|0.084
5038|200|0.642
7980|200|0.952
4547|200|0.994
8136|200|1
6712|200|0.99
3960|200|0.5
3001|200|0.002
5615|200|0.996
1888|200|0.228
4532|200|0.994
7837|200|0.986
1253|200|0.542
3117|200|0.554
6280|200|0.924
8418|200|0.988
2474|200|0.626
8437|200|0.298
8345|200|0.994
1571|200|1
7457|200|0.988
8046|200|1
7577|200|0.384
6925|200|1
5728|200|0.928
3463|200|0.35
7966|200|0.464
7299|200|0.902
2193|200|0.352
2149|200|0.846
4390|200|0.488
2486|200|0.502
2142|200|0.124
6681|200|1
7026|200|1
2708|200|1
5095|200|0.352
8424|200|1
5279|200|0.992
7803|200|1
2274|200|0.56
1212|200|0.868
8880|200|0.234
4743|200|1
6293|200|0.976
2056|200|0.824
2557|200|0.996
7663|200|0.862
2059|200|0.512
7163|200|1
6260|200|0.994
5452|200|0.986
8149|200|0.942
6153|200|1
8899|200|0.426
8188|200|0.994
2680|200|1
2767|200|0.534
4729|200|0.596
7579|200|1
1386|200|0.874
2212|200|0.956
6335|200|0.958
1843|200|0.088
8769|200|0.008
218|200|0.592
2390|200|1
2771|200|0.35
1593|200|1
4939|200|1
3866|200|0.988
5781|200|0.978
6291|200|1
6100|200|0.972
6514|200|0.978
8565|200|0.224
18|200|0.222
6996|200|1
8251|200|1
8071|200|1
3531|200|0.064
2520|200|0.994
314|200|1
2329|200|0.124
6846|200|0.728
327|200|1
1368|200|0.168
4309|200|0.144
8488|200|0.994
7932|200|0.962
4795|200|0.458
4545|200|0.988
3949|200|0.184
7493|200|0.904
3614|200|0.008
3778|200|0.97
3605|200|0.018
8097|200|0.028
4215|200|0.056
7224|200|1
4026|200|0.378
4731|200|0.516
8440|200|0.108
1120|200|0.586
544|200|0.32
7882|200|0.994
5863|200|0.994
4956|200|0.428
8032|200|0.988
5380|200|0.648
8374|200|0.516
770|200|0.348
7697|200|0.9
1444|200|1
4832|200|0.812
3046|200|0.248
8873|200|0.178
3913|200|1
1986|200|0.026
5292|200|0.902
1710|200|0.98
8711|200|0.022
1502|200|1
319|200|0.972
8008|200|1
4025|200|0.332
4467|200|0.998
8554|200|0.338
3485|200|0.118
1291|200|0.85
2894|200|0.578
6331|200|0.846
4531|200|1
7200|200|0.968
710|200|0.358
5005|200|0.996
1891|200|0.406
8134|200|0.99
3225|200|0.004
7014|200|0.998
5694|200|0.872
267|200|0.994
4633|200|0.974
1030|200|0.454
2718|200|0.58
6884|200|0.924
2561|200|0.954
120|200|0.63
7645|200|0.994
1234|200|0.338
5812|200|0.984
7926|200|0.996
1040|200|0.614
3521|200|0.184
8712|200|0.806
5434|200|0.588
3735|200|0.036
6327|200|1
3963|200|0.056
815|200|0.994
1258|200|0.334
6753|200|0.998
8564|200|0.368
6633|200|0.744
5923|200|0.436
1087|200|0.016
6490|200|0.898
6034|200|1
5999|200|0.996
2359|200|1
2446|200|1
2119|200|0.2
8813|200|0.034
4319|200|0.076
2588|200|0.986
4879|200|0.922
8239|200|0.168
4984|200|0.698
1295|200|0.048
7553|200|0.9
3449|200|0.004
3321|200|0.134
757|200|0.676
7359|200|0.984
1792|200|0.45
6498|200|1
8639|200|0.196
3414|200|1
1638|200|0.962
4391|200|0.982
5622|200|0.998
242|200|0.99
773|200|0.872
1325|200|0.06
8087|200|0.996
8744|200|0.012
3109|200|0.132
2543|200|0.986
2453|200|0.998
2051|200|0.002
5508|200|0.552
971|200|0.572
4398|200|0.504
5466|200|1
1263|200|0.872
8946|200|0.602
1859|200|0.494
8127|200|0.992
8716|200|0.048
1455|200|0.462
8442|200|0.428
8491|200|0.976
911|200|0.308
7442|200|0.96
2451|200|0.974
7404|200|0.994
8472|200|0.894
4896|200|0.232
946|200|0.486
4942|200|1
4806|200|0.934
7791|200|0.986
5352|200|1
6763|200|0.26
2087|200|0.122
8291|200|0.622
8922|200|0.354
5727|200|0.538
4157|200|0.048
7005|200|0.862
4718|200|0.006
3666|200|0.964
294|200|0.998
1545|200|0.962
7206|200|0.956
6704|200|0.99
7333|200|0.994
3501|200|0.04
1344|200|0.358
4564|200|0.952
7127|200|0.646
5886|200|0.952
1403|200|0.892
5996|200|0.994
6545|200|0.988
5760|200|0.986
7123|200|0.998
60|200|0.232
7463|200|0.994
4356|200|0.094
4047|200|0.094
5846|200|0.666
803|200|0.994
7152|200|0.998
4441|200|0.99
4661|200|0.786
7608|200|0.984
2559|200|0.992
566|200|0.276
3558|200|0.064
3011|200|0.044
8672|200|0.026
3057|200|0.01
1984|200|0.05
8547|200|0.256
2347|200|0.962
7651|200|1
2443|200|0.988
3882|200|0.128
7616|200|1
743|200|0.316
179|200|0.908
6762|200|0.952
3966|200|0.434
5157|200|1
7340|200|1
572|200|1
3397|200|0.98
4994|200|0.958
2356|200|0.842
5658|200|0.622
7982|200|0.998
7631|200|1
6210|200|0.838
2858|200|0.024
5797|200|0.822
4918|200|0.96
1932|200|0.13
809|200|0.93
1091|200|0.66
3335|200|0.206
6216|200|0.976
2126|200|0.694
2939|200|0.05
8517|200|0.368
3889|200|0.934
1563|200|1
5899|200|0.93
3599|200|0.026
3965|200|0.002
4060|200|0.026
2551|200|1
3252|200|0.394
2463|200|0.232
5507|200|1
5978|200|0.988
5910|200|0.97
854|200|0.988
1168|200|0.766
3408|200|0.152
1973|200|0.028
6918|200|0.994
8366|200|1
5861|200|0.01
1753|200|0.174
4502|200|0.996
4618|200|0.568
1025|200|0.668
5267|200|0.36
8378|200|0.964
3025|200|0.012
4317|200|0.102
41|200|0.108
4474|200|0.948
8454|200|1
6041|200|0.982
5522|200|0.784
1791|200|0.472
2445|200|0.954
942|200|0.608
8667|200|0.034
3670|200|0.97
7279|200|1
8604|200|0.03
3354|200|0.024
8561|200|0.888
7098|200|0.996
2842|200|0.488
8980|200|0.074
7016|200|0.984
6598|200|0.47
5440|200|0.952
4608|200|0.942
4650|200|0.998
6506|200|0.042
8919|200|0.858
6266|200|0.104
3404|200|0.992
6209|200|1
4082|200|0.07
5057|200|0.92
3958|200|0.37
8915|200|0.048
8541|200|0.618
7056|200|0.94
2845|200|0.01
6476|200|1
273|200|0.998
1836|200|1
4654|200|0.764
6387|200|1
8377|200|0.988
3146|200|0.132
6766|200|0.37
7776|200|0.856
1516|200|0.99
2009|200|0.088
3055|200|0.106
8235|200|1
6610|200|0.992
7083|200|0.974
2565|200|1
8352|200|1
2738|200|0.444
1463|200|0.918
4870|200|1
1143|200|0.622
3591|200|0.1
3358|200|0.26
5724|200|1
4061|200|0.018
5920|200|0.954
5411|200|0.582
5773|200|0.288
1486|200|0.998
5324|200|0.946
5757|200|0.952
7084|200|0.996
6269|200|0.938
8337|200|0.994
6213|200|0.992
6283|200|0.916
8017|200|1
5697|200|0.942
453|200|0.994
4378|200|0.758
7174|200|0.238
6121|200|0.432
3369|200|0.024
7522|200|1
8165|200|0.998
883|200|0.986
3489|200|0.078
1306|200|1
5375|200|0.994
3351|200|0.396
973|200|0.654
6409|200|0.924
5574|200|1
1361|200|0.166
1682|200|1
119|200|0.142
3104|200|0.26
595|200|0.998
4381|200|0.982
1209|200|0.01
4428|200|1
932|200|0.298
3387|200|0.9
1048|200|0.744
4676|200|0.998
6519|200|0.756
4189|200|0.004
6856|200|0.986
2096|200|0.088
1418|200|0.98
1012|200|0.8
6557|200|0.472
2620|200|1
6552|200|0.796
7435|200|0.432
763|200|0.794
6626|200|0.988
6676|200|0.994
7748|200|0.998
1985|200|0.342
7785|200|0.98
6031|200|1
663|200|0.534
8499|200|0.89
3927|200|0.994
4803|200|0.99
5798|200|0.948
4982|200|0.158
6063|200|0.964
1174|200|0.612
2065|200|0.642
8665|200|0.168
5309|200|0.984
8312|200|0.882
6356|200|1
7286|200|0.994
8807|200|0.12
5087|200|0.988
4888|200|0.986
4361|200|0.16
3608|200|0.09
7053|200|1
4704|200|0.99
6816|200|0.946
6848|200|1
6768|200|1
7848|200|1
4506|200|1
4100|200|0.448
1993|200|0.014
67|200|0.3
5585|200|0.99
6896|200|0.028
5723|200|0.994
1795|200|0.704
2397|200|1
7256|200|0.992
7429|200|0.988
68|200|0.122
1286|200|0.85
227|200|0.22
1582|200|0.998
7790|200|0.994
7179|200|0.958
7940|200|0.92
4932|200|0.872
8540|200|0.164
3848|200|1
3283|200|0.47
7144|200|0.98
3406|200|1
5841|200|0.112
2424|200|0.994
784|200|0.992
3123|200|0.052
7847|200|1
8586|200|0.114
3468|200|0.868
5125|200|0.948
87|200|0.104
3940|200|0.998
2415|200|0.998
8265|200|0.998
2105|200|0.26
2712|200|0.616
3243|200|0.13
284|200|0.988
7764|200|0.998
4451|200|0.986
3851|200|0.988
4555|200|0.694
5731|200|0.998
4103|200|0.056
288|200|1
6316|200|0.998
8413|200|1
4293|200|0.212
7644|200|0.98
5763|200|0.996
4596|200|0.002
7065|200|0.934
4759|200|0.994
6708|200|1
370|200|0.924
2730|200|0.432
1470|200|0.992
2812|200|0.354
4081|200|0.206
2538|200|1
6323|200|0.922
2045|200|0.038
1862|200|0.208
2228|200|0.056
1223|200|0.274
8000|200|1
424|200|0.986
2549|200|0.97
8559|200|0.358
5712|200|0.996
796|200|0.988
5484|200|1
8441|200|0.096
2623|200|0.012
2328|200|0.986
8079|200|0.916
2082|200|0.274
1205|200|1
8633|200|0.206
4945|200|0.996
7521|200|0.96
6484|200|0.99
3444|200|0.424
7487|200|1
5232|200|0.918
5779|200|0.26
2818|200|0.43
8608|200|0.1
505|200|1
3995|200|0.326
7138|200|0.956
4686|200|0.996
1392|200|0.9
4958|200|0.994
1195|200|0.938
6986|200|1
5059|200|0.994
2860|200|0.262
7230|200|0.924
6581|200|0.988
1767|200|0.646
6390|200|0.184
1542|200|1
1913|200|0.094
8623|200|0.458
2249|200|0.516
6785|200|0.99
996|200|0.712
4903|200|0.46
5030|200|0.992
1146|200|0.886
6178|200|0.992
4411|200|0.578
2184|200|0.086
6458|200|0.87
6518|200|0.986
6501|200|0.994
6584|200|0.934
6790|200|0.976
4012|200|0.44
7283|200|0.974
1504|200|1
4209|200|0.024
6634|200|0.93
7329|200|1
6358|200|0.926
5211|200|0.01
5270|200|0.592
1590|200|0.996
8198|200|0.988
3133|200|0.546
8900|200|0.638
2607|200|0.992
5649|200|0.998
2441|200|0.998
1592|200|0.204
6574|200|0.608
4000|200|0.26
7634|200|0.978
7760|200|1
783|200|0.982
3932|200|0.998
4901|200|0.51
274|200|0.996
2688|200|1
7874|200|0.998
1810|200|0.436
5100|200|0.928
3828|200|0.926
7236|200|0.86
6664|200|1
4527|200|1
39|200|0.062
4898|200|0.786
8598|200|0.034
8958|200|0.012
3719|200|0.956
1086|200|0.102
5398|200|0.882
4161|200|0.088
7665|200|0.992
2575|200|0.994
3825|200|0.926
1274|200|0.112
3611|200|0.052
7654|200|1
6765|200|1
8359|200|0.99
8957|200|0.146
261|200|0.998
2873|200|0.226
1077|200|0.084
503|200|1
8839|200|0.174
3875|200|1
2189|200|0.47
688|200|0.42
2117|200|0.352
1910|200|0.154
21|200|0.854
7653|200|0.76
4440|200|0.996
4233|200|0.324
8903|200|0.332
558|200|0.972
4445|200|0.982
4466|200|0.974
6977|200|0.95
100|200|0.224
5307|200|0.984
7811|200|0.996
4621|200|0.408
5329|200|0.994
1326|200|0.102
2185|200|0.024
5353|200|0.97
8576|200|0.128
1128|200|0.852
4844|200|0.606
2240|200|0.334
7648|200|1
7998|200|0.964
6367|200|0.998
6916|200|0.464
7481|200|0.972
4341|200|0.37
1046|200|0.712
7257|200|0.998
7271|200|0.958
2375|200|1
6284|200|0.56
940|200|1
3223|200|0.028
4373|200|0.03
4508|200|0.956
5715|200|0.994
4496|200|0.946
4217|200|0.02
8854|200|0.072
4829|200|0.996
4977|200|0.996
8482|200|0.076
1270|200|0.112
6580|200|1
6226|200|0.37
3238|200|0.01
1115|200|0.882
6968|200|0.352
2803|200|0.34
3978|200|0.004
1600|200|0.994
6881|200|0.89
6143|200|0.506
7136|200|1
3953|200|0.402
6071|200|0.996
6068|200|1
7620|200|0.93
1489|200|0.952
3743|200|0.962
7238|200|0.962
2756|200|0.812
8222|200|0.978
3584|200|0.044
6825|200|0.994
5346|200|1
1969|200|0.026
5601|200|1
5774|200|1
7808|200|0.978
7913|200|0.952
3858|200|0.988
8918|200|0.104
848|200|0.93
1655|200|0.992
5962|200|0.26
5836|200|0.966
3527|200|0.03
5878|200|0.204
2916|200|0.056
2025|200|0.824
1116|200|0.54
3993|200|0.26
3726|200|0.922
2783|200|0.564
6788|200|0.978
2383|200|0.996
2743|200|0.78
49|200|0.036
5149|200|0.998
6321|200|0.97
3773|200|0.96
1422|200|0.034
8947|200|0.228
2775|200|0.486
7320|200|0.93
5044|200|0.19
8080|200|0.992
5937|200|0.97
8351|200|1
183|200|0.198
7822|200|0.982
4528|200|0.994
1848|200|0.162
2673|200|1
3744|200|0.972
2041|200|0.212
6229|200|0.668
1925|200|0.418
1794|200|0.76
8961|200|0.29
3343|200|0.662
642|200|0.024
625|200|0.002
1194|200|0.17
8082|200|0.996
8436|200|0.556
5441|200|0.438
2753|200|0.88
7109|200|1
7607|200|0.098
4786|200|0.714
7862|200|0.99
7823|200|0.998
5354|200|1
4799|200|0.01
7460|200|0.534
122|200|0.422
7948|200|0.978
3331|200|0.46
7920|200|0.958
4923|200|0.988
8357|200|0.932
2138|200|0.056
1210|200|0.448
379|200|0.51
4244|200|0.05
3185|200|0.284
2641|200|0.996
8896|200|0.352
5426|200|0.744
1330|200|0.444
2496|200|0.012
5526|200|0.992
3015|200|0.056
3511|200|0.354
7282|200|0.502
7354|200|0.886
397|200|0.956
5802|200|0.978
1546|200|1
3344|200|0.01
461|200|0.992
5459|200|0.63
7091|200|0.996
1382|200|0.258
6185|200|0.996
3355|200|0.002
1656|200|0.452
462|200|0.948
5578|200|1
2741|200|0.622
4625|200|0.966
1230|200|0.048
2945|200|0.274
7361|200|0.892
547|200|1
7519|200|0.038
4952|200|0.844
8675|200|0.002
3520|200|0.182
8597|200|0.634
7046|200|0.964
7508|200|0.936
4509|200|0.068
8162|200|0.956
8118|200|0.852
4119|200|0.522
3624|200|0.164
708|200|0.508
459|200|0.99
3438|200|0.966
8603|200|0.164
2742|200|0.318
8400|200|0.976
3183|200|0.01
2556|200|0.994
979|200|0.636
1302|200|0.002
8931|200|0.14
559|200|0.974
2490|200|0.994
165|200|0.05
6528|200|0.828
7048|200|1
8924|200|0.316
739|200|0.53
1244|200|1
2033|200|0.334
8511|200|0.458
8427|200|0.274
4847|200|1
4176|200|0.05
8988|200|0.1
8325|200|0.986
1834|200|1
3734|200|0.088
7687|200|0.938
7528|200|1
5810|200|0.918
6347|200|1
6160|200|1
1736|200|0.572
6964|200|0.978
5448|200|0.962
8229|200|0.588
5713|200|0.998
6314|200|0.992
2444|200|1
5623|200|0.982
7582|200|1
5604|200|0.962
6039|200|0.828
3920|200|0.988
3796|200|0.992
1740|200|0.136
2201|200|0.334
7552|200|0.822
234|200|0.994
6689|200|0.992
5617|200|0.992
3208|200|0.016
3883|200|0.042
7060|200|0.998
1439|200|1
7012|200|1
4877|200|1
3574|200|0.416
6770|200|0.992
5207|200|0.9
7703|200|0.426
4347|200|0.492
2067|200|0.034
6754|200|0.504
7740|200|0.994
205|200|0.88
4278|200|0.998
2506|200|0.998
