pattern|total_frequency |label|label_frequency|
,U.R.U.U,U|554|From-Normal-UDP-DNS-Oficial.DNS.Server-6|244|
,U.R.U.U,U|554|From-Normal-UDP-DNS-Oficial.DNS.Server-3|289|
,U.R.U.U,U|554|From-Normal-UDP-DNS--87|21|
U,U.U,U.R.|546|From-Normal-UDP-DNS-Oficial.DNS.Server-6|246|
U,U.U,U.R.|546|From-Normal-UDP-DNS-Oficial.DNS.Server-3|279|
U,U.U,U.R.|546|From-Normal-UDP-DNS--87|21|
,U.U,U.R.U|534|From-Normal-UDP-DNS-Oficial.DNS.Server-6|244|
,U.U,U.R.U|534|From-Normal-UDP-DNS-Oficial.DNS.Server-3|269|
,U.U,U.R.U|534|From-Normal-UDP-DNS--87|21|
.R.U.U,U.U|533|From-Normal-UDP-DNS-Oficial.DNS.Server-6|232|
.R.U.U,U.U|533|From-Normal-UDP-DNS-Oficial.DNS.Server-2|1|
.R.U.U,U.U|533|From-Normal-UDP-DNS-Oficial.DNS.Server-3|280|
.R.U.U,U.U|533|From-Normal-UDP-DNS--87|19|
.R.U.U,U.U|533|From-Normal-UDP-DNS--86|1|
R.U.U,U.U,|518|From-Normal-UDP-DNS-Oficial.DNS.Server-6|226|
R.U.U,U.U,|518|From-Normal-UDP-DNS-Oficial.DNS.Server-3|273|
R.U.U,U.U,|518|From-Normal-UDP-DNS--87|18|
R.U.U,U.U,|518|From-Normal-UDP-DNS-Oficial.DNS.Server-2|1|
.U.U.U,U.U|516|From-Botnet-UDP-DNS--346|1|
.U.U.U,U.U|516|From-Botnet-UDP-DNS--588|1|
.U.U.U,U.U|516|From-Normal-UDP-DNS--87|26|
.U.U.U,U.U|516|From-Normal-UDP-DNS-Oficial.DNS.Server-6|194|
.U.U.U,U.U|516|From-Botnet-UDP-DNS--714|1|
.U.U.U,U.U|516|From-Normal-UDP-DNS-Oficial.DNS.Server-3|293|
U,U.R,U.U.|515|From-Normal-UDP-DNS-Oficial.DNS.Server-6|185|
U,U.R,U.U.|515|From-Normal-UDP-DNS-Oficial.DNS.Server-3|306|
U,U.R,U.U.|515|From-Normal-UDP-DNS--87|24|
.U,U.R,U.U|515|From-Normal-UDP-DNS-Oficial.DNS.Server-6|185|
.U,U.R,U.U|515|From-Normal-UDP-DNS-Oficial.DNS.Server-3|306|
.U,U.R,U.U|515|From-Normal-UDP-DNS--87|24|
,U.R,U.U.U|513|From-Normal-UDP-DNS-Oficial.DNS.Server-6|185|
,U.R,U.U.U|513|From-Normal-UDP-DNS-Oficial.DNS.Server-1|1|
,U.R,U.U.U|513|From-Normal-UDP-DNS-Oficial.DNS.Server-3|303|
,U.R,U.U.U|513|From-Normal-UDP-DNS--87|24|
U.U.U,U.U,|497|From-Normal-UDP-DNS-Oficial.DNS.Server-6|192|
U.U.U,U.U,|497|From-Botnet-UDP-DNS-Oficial.DNS.Server-2|1|
U.U.U,U.U,|497|From-Normal-UDP-DNS-Oficial.DNS.Server-3|278|
U.U.U,U.U,|497|From-Normal-UDP-DNS--87|26|
.R,U.U.U.U|497|From-Normal-UDP-DNS-Oficial.DNS.Server-6|179|
.R,U.U.U.U|497|From-Normal-UDP-DNS-Oficial.DNS.Server-3|295|
.R,U.U.U.U|497|From-Normal-UDP-DNS--87|23|
,U.U.U.U,U|495|From-Normal-UDP-DNS-Oficial.DNS.Server-6|177|
,U.U.U.U,U|495|From-Normal-UDP-DNS--85|1|
,U.U.U.U,U|495|From-Normal-UDP-DNS-Oficial.DNS.Server-3|293|
,U.U.U.U,U|495|From-Normal-UDP-DNS--87|23|
,U.U.U.U,U|495|From-Normal-UDP-DNS--86|1|
R,U.U.U.U,|485|From-Normal-UDP-DNS-Oficial.DNS.Server-6|174|
R,U.U.U.U,|485|From-Botnet-UDP-DNS-Oficial.DNS.Server-2|1|
R,U.U.U.U,|485|From-Normal-UDP-DNS-Oficial.DNS.Server-3|287|
R,U.U.U.U,|485|From-Normal-UDP-DNS--87|23|
.U,U.U,U.U|472|From-Normal-UDP-DNS--87|19|
.U,U.U,U.U|472|From-Normal-UDP-DNS--86|1|
.U,U.U,U.U|472|From-Normal-UDP-DNS-Oficial.DNS.Server-6|206|
.U,U.U,U.U|472|From-Normal-UDP-DNS-Oficial.DNS.Server-3|243|
.U,U.U,U.U|472|From-Normal-UDP-DNS-Oficial.DNS.Server-2|1|
.U,U.U,U.U|472|From-Botnet-UDP-DNS--718|1|
.U,U.U,U.U|472|From-Botnet-UDP-DNS--311|1|
U,U.U,U.R,|460|From-Normal-UDP-DNS-Oficial.DNS.Server-6|173|
U,U.U,U.R,|460|From-Normal-UDP-DNS-Oficial.DNS.Server-3|266|
U,U.U,U.R,|460|From-Normal-UDP-DNS--87|21|
,U.U,U.U,U|448|From-Normal-UDP-DNS-Oficial.DNS.Server-6|201|
,U.U,U.U,U|448|From-Normal-UDP-DNS-Oficial.DNS.Server-3|228|
,U.U,U.U,U|448|From-Normal-UDP-DNS--87|18|
,U.U,U.U,U|448|From-Normal-UDP-DNS--86|1|
U,U.U,U.U,|445|From-Normal-UDP-DNS-Oficial.DNS.Server-6|199|
U,U.U,U.U,|445|From-Normal-UDP-DNS-Oficial.DNS.Server-3|228|
U,U.U,U.U,|445|From-Normal-UDP-DNS--87|18|
,U.U,U.R,U|438|From-Normal-UDP-DNS-Oficial.DNS.Server-6|163|
,U.U,U.R,U|438|From-Normal-UDP-DNS-Oficial.DNS.Server-3|254|
,U.U,U.R,U|438|From-Normal-UDP-DNS--87|21|
s,s,s,s,s,|330|From-Botnet-TCP-Unknown-Attempt-436|5|
s,s,s,s,s,|330|From-Botnet-TCP-Unknown-Attempt-435|2|
s,s,s,s,s,|330|From-Botnet-TCP-Unknown-Attempt-433|1|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM-936|2|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM-932|13|
s,s,s,s,s,|330|From-Botnet-UDP-DNS--1278|2|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM.Attempt-381|2|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM.Attempt-401|1|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM-1174|11|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM-1175|1|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM.Attempt-377|3|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM.Attempt-1017|20|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM.Attempt-374|2|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM.Attempt-706|1|
s,s,s,s,s,|330|From-Botnet-TCP-HTTP-Attempt-460|6|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM.Attempt-379|2|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM-502|3|
s,s,s,s,s,|330|From-Botnet-UDP-DNS--68|1|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM.Attempt-1015|5|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM.Attempt-710|2|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM.Attempt-907|19|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM.Attempt-704|2|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM.Attempt-828|18|
s,s,s,s,s,|330|From-Botnet-TCP-Unknown--19|93|
s,s,s,s,s,|330|From-Botnet-UDP-DNS--1454|3|
s,s,s,s,s,|330|From-Botnet-UDP-DNS--1577|3|
s,s,s,s,s,|330|From-Botnet-UDP-DNS--1576|1|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM.Attempt-492|3|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM.Attempt-493|3|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM-628|38|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM-1148|4|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM-1465|7|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM-1468|14|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM.Attempt-479|6|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM.Attempt-494|3|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM-1060|14|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM-1061|1|
s,s,s,s,s,|330|From-Botnet-TCP-SMTP-SPAM-626|13|
,s,s,s,s,s|322|From-Botnet-TCP-Unknown-Attempt-436|6|
,s,s,s,s,s|322|From-Botnet-TCP-Unknown-Attempt-435|1|
,s,s,s,s,s|322|From-Botnet-TCP-Unknown-Attempt-433|1|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM-936|1|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM-932|13|
,s,s,s,s,s|322|From-Botnet-UDP-DNS--1278|2|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM.Attempt-381|1|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM-1174|12|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM.Attempt-710|2|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM.Attempt-377|3|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM.Attempt-1017|18|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM.Attempt-374|2|
,s,s,s,s,s|322|From-Botnet-TCP-HTTP-Attempt-460|6|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM.Attempt-379|2|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM-502|3|
,s,s,s,s,s|322|From-Botnet-UDP-DNS--68|2|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM.Attempt-1015|5|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM.Attempt-907|19|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM.Attempt-704|2|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM.Attempt-828|19|
,s,s,s,s,s|322|From-Botnet-TCP-Unknown--19|90|
,s,s,s,s,s|322|From-Botnet-UDP-DNS--1454|4|
,s,s,s,s,s|322|From-Botnet-UDP-DNS--1577|2|
,s,s,s,s,s|322|From-Botnet-UDP-DNS--1576|1|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM.Attempt-492|3|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM-498|1|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM.Attempt-493|4|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM-628|40|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM-1148|2|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM-1465|6|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM-1468|13|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM.Attempt-479|6|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM.Attempt-494|4|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM-1060|14|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM-1061|1|
,s,s,s,s,s|322|From-Botnet-TCP-SMTP-SPAM-626|11|
R.R.r.R.R.|231|From-Botnet-UDP-DNS--400|3|
R.R.r.R.R.|231|From-Botnet-UDP-DNS--402|5|
R.R.r.R.R.|231|From-Botnet-UDP-DNS--530|4|
R.R.r.R.R.|231|From-Botnet-UDP-DNS--532|1|
R.R.r.R.R.|231|From-Normal-UDP-DNS--85|17|
R.R.r.R.R.|231|From-Botnet-UDP-DNS--338|3|
R.R.r.R.R.|231|From-Normal-UDP-DNS-Oficial.DNS.Server-5|29|
R.R.r.R.R.|231|From-Normal-UDP-DNS-Oficial.DNS.Server-6|4|
R.R.r.R.R.|231|From-Botnet-UDP-DNS--1507|1|
R.R.r.R.R.|231|From-Normal-UDP-DNS-Oficial.DNS.Server-1|9|
R.R.r.R.R.|231|From-Normal-UDP-DNS-Oficial.DNS.Server-3|9|
R.R.r.R.R.|231|From-Normal-UDP-DNS-Oficial.DNS.Server-2|116|
R.R.r.R.R.|231|From-Normal-UDP-DNS--86|6|
R.R.r.R.R.|231|From-Botnet-UDP-DNS--1509|5|
R.R.r.R.R.|231|From-Botnet-UDP-DNS-Oficial.DNS.Server-1|19|
.R.R.r.R.R|231|From-Botnet-UDP-DNS--400|3|
.R.R.r.R.R|231|From-Botnet-UDP-DNS--402|6|
.R.R.r.R.R|231|From-Botnet-UDP-DNS--530|4|
.R.R.r.R.R|231|From-Botnet-UDP-DNS--532|3|
.R.R.r.R.R|231|From-Normal-UDP-DNS--85|17|
.R.R.r.R.R|231|From-Botnet-UDP-DNS--338|1|
.R.R.r.R.R|231|From-Normal-UDP-DNS-Oficial.DNS.Server-5|29|
.R.R.r.R.R|231|From-Normal-UDP-DNS-Oficial.DNS.Server-6|4|
.R.R.r.R.R|231|From-Botnet-UDP-DNS--1507|1|
.R.R.r.R.R|231|From-Normal-UDP-DNS-Oficial.DNS.Server-1|8|
.R.R.r.R.R|231|From-Normal-UDP-DNS-Oficial.DNS.Server-3|9|
.R.R.r.R.R|231|From-Normal-UDP-DNS-Oficial.DNS.Server-2|116|
.R.R.r.R.R|231|From-Normal-UDP-DNS--86|6|
.R.R.r.R.R|231|From-Botnet-UDP-DNS--1509|5|
.R.R.r.R.R|231|From-Botnet-UDP-DNS-Oficial.DNS.Server-1|19|
g.g.g.g.g.|214|From-Normal-TCP-HTTP-Camnep.Web-1|214|
.g.g.g.g.g|214|From-Normal-TCP-HTTP-Camnep.Web-1|214|
e.e.e.e.e.|201|From-Botnet-TCP-Unknown-Attempt-433|21|
e.e.e.e.e.|201|From-Botnet-UDP-DNS--1371|2|
e.e.e.e.e.|201|From-Botnet-TCP-HTTPS-Attempt-3|170|
e.e.e.e.e.|201|From-Botnet-UDP-DNS--810|6|
e.e.e.e.e.|201|From-Botnet-UDP-DNS--1347|2|
.e.e.e.e.e|201|From-Botnet-TCP-Unknown-Attempt-433|21|
.e.e.e.e.e|201|From-Botnet-UDP-DNS--1371|2|
.e.e.e.e.e|201|From-Botnet-TCP-HTTPS-Attempt-3|170|
.e.e.e.e.e|201|From-Botnet-UDP-DNS--810|6|
.e.e.e.e.e|201|From-Botnet-UDP-DNS--1347|2|
.S.S.S.S.S|186|From-Botnet-UDP-DNS--405|2|
.S.S.S.S.S|186|From-Botnet-TCP-Unknown-Attempt-436|12|
.S.S.S.S.S|186|From-Botnet-TCP-Unknown-Attempt-435|34|
.S.S.S.S.S|186|From-Botnet-TCP-Unknown-Attempt-432|35|
.S.S.S.S.S|186|From-Botnet-TCP-HTTP-Attempt-459|22|
.S.S.S.S.S|186|From-Normal-UDP-DNS-Oficial.DNS.Server-2|3|
.S.S.S.S.S|186|From-Botnet-TCP-HTTP-Attempt-461|39|
.S.S.S.S.S|186|From-Botnet-TCP-HTTP-Attempt-460|38|
.S.S.S.S.S|186|From-Botnet-TCP-SMTP-SPAM-626|1|
S.S.S.S.S.|183|From-Botnet-TCP-Unknown-Attempt-436|11|
S.S.S.S.S.|183|From-Botnet-TCP-Unknown-Attempt-435|35|
S.S.S.S.S.|183|From-Botnet-TCP-Unknown-Attempt-432|35|
S.S.S.S.S.|183|From-Botnet-TCP-HTTP-Attempt-459|22|
S.S.S.S.S.|183|From-Normal-UDP-DNS-Oficial.DNS.Server-2|3|
S.S.S.S.S.|183|From-Botnet-TCP-HTTP-Attempt-461|39|
S.S.S.S.S.|183|From-Botnet-TCP-HTTP-Attempt-460|38|
.U.U.U,U.R|173|From-Normal-UDP-DNS-Oficial.DNS.Server-6|50|
.U.U.U,U.R|173|From-Normal-UDP-DNS--85|1|
.U.U.U,U.R|173|From-Normal-UDP-DNS-Oficial.DNS.Server-3|116|
.U.U.U,U.R|173|From-Normal-UDP-DNS--87|6|
R.r.R.R.r.|159|From-Normal-UDP-DNS-Oficial.DNS.Server-5|20|
R.r.R.R.r.|159|From-Botnet-UDP-DNS--400|4|
R.r.R.R.r.|159|From-Botnet-UDP-DNS--402|5|
R.r.R.R.r.|159|From-Botnet-UDP-DNS--530|6|
R.r.R.R.r.|159|From-Botnet-UDP-DNS--532|1|
R.r.R.R.r.|159|From-Normal-UDP-DNS--85|7|
R.r.R.R.r.|159|From-Botnet-UDP-DNS--338|8|
R.r.R.R.r.|159|From-Botnet-UDP-DNS--612|1|
R.r.R.R.r.|159|From-Botnet-UDP-DNS--844|2|
R.r.R.R.r.|159|From-Normal-UDP-DNS-Oficial.DNS.Server-6|1|
R.r.R.R.r.|159|From-Botnet-UDP-DNS--1507|2|
R.r.R.R.r.|159|From-Normal-UDP-DNS-Oficial.DNS.Server-1|2|
R.r.R.R.r.|159|From-Normal-UDP-DNS-Oficial.DNS.Server-3|4|
R.r.R.R.r.|159|From-Normal-UDP-DNS-Oficial.DNS.Server-2|84|
R.r.R.R.r.|159|From-Normal-UDP-DNS--86|1|
R.r.R.R.r.|159|From-Botnet-UDP-DNS--1509|1|
R.r.R.R.r.|159|From-Botnet-UDP-DNS-Oficial.DNS.Server-1|10|
.r.r.r.r.r|149|From-Botnet-UDP-DNS--1869|2|
.r.r.r.r.r|149|From-Botnet-UDP-DNS--530|21|
.r.r.r.r.r|149|From-Botnet-UDP-DNS--1011|2|
.r.r.r.r.r|149|From-Botnet-UDP-DNS--1871|3|
.r.r.r.r.r|149|From-Botnet-UDP-DNS--532|18|
.r.r.r.r.r|149|From-Botnet-UDP-DNS--844|1|
.r.r.r.r.r|149|From-Botnet-UDP-DNS--281|2|
.r.r.r.r.r|149|From-Botnet-UDP-DNS--402|21|
.r.r.r.r.r|149|From-Normal-UDP-DNS--85|1|
.r.r.r.r.r|149|From-Botnet-UDP-DNS--1853|5|
.r.r.r.r.r|149|From-Normal-UDP-DNS--86|6|
.r.r.r.r.r|149|From-Botnet-UDP-DNS--400|19|
.r.r.r.r.r|149|From-Botnet-UDP-DNS--1008|1|
.r.r.r.r.r|149|From-Botnet-UDP-DNS--1507|1|
.r.r.r.r.r|149|From-Normal-UDP-DNS-Oficial.DNS.Server-1|8|
.r.r.r.r.r|149|From-Normal-UDP-DNS-Oficial.DNS.Server-3|2|
.r.r.r.r.r|149|From-Normal-UDP-DNS-Oficial.DNS.Server-2|7|
.r.r.r.r.r|149|From-Botnet-UDP-DNS--1010|3|
.r.r.r.r.r|149|From-Botnet-UDP-DNS--338|21|
.r.r.r.r.r|149|From-Botnet-UDP-DNS--1509|1|
.r.r.r.r.r|149|From-Botnet-UDP-DNS-Oficial.DNS.Server-1|4|
.r.R.R.r.R|149|From-Normal-UDP-DNS-Oficial.DNS.Server-5|19|
.r.R.R.r.R|149|From-Botnet-UDP-DNS--400|2|
.r.R.R.r.R|149|From-Botnet-UDP-DNS--402|3|
.r.R.R.r.R|149|From-Botnet-UDP-DNS--530|4|
.r.R.R.r.R|149|From-Botnet-UDP-DNS--532|2|
.r.R.R.r.R|149|From-Normal-UDP-DNS--85|7|
.r.R.R.r.R|149|From-Botnet-UDP-DNS--338|4|
.r.R.R.r.R|149|From-Botnet-UDP-DNS--612|1|
.r.R.R.r.R|149|From-Normal-UDP-DNS-Oficial.DNS.Server-6|1|
.r.R.R.r.R|149|From-Botnet-UDP-DNS--1507|1|
.r.R.R.r.R|149|From-Normal-UDP-DNS-Oficial.DNS.Server-1|4|
.r.R.R.r.R|149|From-Normal-UDP-DNS-Oficial.DNS.Server-3|1|
.r.R.R.r.R|149|From-Normal-UDP-DNS-Oficial.DNS.Server-2|87|
.r.R.R.r.R|149|From-Normal-UDP-DNS--86|2|
.r.R.R.r.R|149|From-Botnet-UDP-DNS--1509|1|
.r.R.R.r.R|149|From-Botnet-UDP-DNS-Oficial.DNS.Server-1|10|
r.r.r.r.r.|146|From-Botnet-UDP-DNS--530|21|
r.r.r.r.r.|146|From-Botnet-UDP-DNS--1011|1|
r.r.r.r.r.|146|From-Botnet-UDP-DNS--1871|3|
r.r.r.r.r.|146|From-Botnet-UDP-DNS--532|18|
r.r.r.r.r.|146|From-Botnet-UDP-DNS--844|1|
r.r.r.r.r.|146|From-Botnet-UDP-DNS--281|2|
